firearm 2372 [ 67.2823556  80.4774535] 0.416546684733 3.68389896348
cellphone 1052 [ 53.21845694  72.85414132] 0.536026437283 2.50334053737
speaker 1618 [ 40.73089754  61.12806615] 0.745516747847 3.66787391269
cabinet 1572 [ 48.90185167  70.38195924] 0.45288079387 2.76318921578
lamp 2318 [ 44.58124488  60.80769658] 1.03994970108 4.46143586706
bench 1816 [ 52.15665001  69.08951976] 0.646327762762 3.17584097831
couch 3173 [ 44.78085625  66.34284942] 0.571713079561 2.95897820319
chair 6778 [ 46.38177585  65.10875202] 0.715721013308 3.90759277515
plane 4045 [ 62.95311576  77.57793486] 0.475952786907 3.39539420967
table 8509 [ 58.92097781  75.10675581] 0.503580234148 3.05677305738
monitor 1095 [ 42.80309144  61.04540188] 0.849667553707 3.39336395595
car 7496 [ 57.95066939  77.61415317] 0.352109890735 4.61638554562
watercraft 1939 [ 52.28857085  69.47433402] 0.632678902609 3.6480030763
