firearm 2372 [ 68.19873396  80.67579606] 0.426650434211 3.8678457063
cellphone 1052 [ 53.4558846   72.53713492] 0.552905460088 2.62388890984
speaker 1618 [ 41.99640776  62.15870028] 0.739178202676 3.69968213328
cabinet 1572 [ 50.22424891  71.11606247] 0.455439002507 2.77148078101
lamp 2318 [ 43.35190895  59.35780056] 1.10880758542 4.64993367047
bench 1816 [ 52.32748646  69.30360794] 0.636708832777 3.17946459495
couch 3173 [ 45.66976106  67.45730079] 0.548627878183 2.94095614587
chair 6778 [ 46.64704738  65.54333285] 0.700757851913 3.90404004543
plane 4045 [ 60.55455989  75.1736891 ] 0.522879711034 3.27347931223
table 8509 [ 59.77056986  75.70207251] 0.500424247285 3.0219491736
monitor 1095 [ 42.97061947  60.54863724] 0.861776211346 3.42864473878
car 7496 [ 57.06967257  77.49571904] 0.345201300396 4.76510889676
watercraft 1939 [ 52.74661751  69.66969205] 0.642164612436 3.65846527889
