firearm 2372 [ 11.77887947  16.62543689] 12.2048026587 9.19041936809
cellphone 1052 [ 6.30083066  9.84873828] 22.5391921432 12.7353600581
speaker 1618 [ 4.30335562  7.35574816] 27.9561668835 14.9698019574
cabinet 1572 [ 3.80481667  6.56272561] 31.7080557314 13.8812584579
lamp 2318 [  6.98826502  10.8917591 ] 13.8096663727 11.0170053542
bench 1816 [ 5.73306335  8.91529455] 21.4172236193 13.1283909152
couch 3173 [ 4.9677274   8.34027421] 25.8392992523 15.0162074891
chair 6778 [ 4.44606188  7.17309961] 24.0705154537 16.3964521797
plane 4045 [ 10.13678877  14.93804852] 8.47516321622 9.40260885293
table 8509 [ 3.99647411  6.44025334] 24.8063918004 14.1659812146
monitor 1095 [ 4.87841779  7.71622242] 32.0126211782 14.5392109043
car 7496 [ 5.69401891  9.32981489] 16.9214710817 21.6956413242
watercraft 1939 [ 10.41537074  15.56436861] 11.5794286961 10.2138236438
